codigo_departamento,codigo_dpto_mpio,codigo_centro_poblado,nombre_departamento,nombre_municipio,nombre_centro_poblado,nombre_tipo_ctro_pbdo,longitud,latitud,nombre_distrito,tipo_municipio,nombre_area_metro
"05","05113","05113008","ANTIOQUIA","BURITICA","LA MARIELA","CENTRO POBLADO","-75.9065102474","6.72691952572","","MUNICIPIO","",
"05","05120","05120000","ANTIOQUIA","CACERES","CACERES","CABECERA MUNICIPAL","-75.3523574868","7.5783154508","","MUNICIPIO","",
"05","05120","05120002","ANTIOQUIA","CACERES","EL JARDIN (TAMANA)","CENTRO POBLADO","-75.2538883049","7.75477357524","","MUNICIPIO","",
"05","05120","05120003","ANTIOQUIA","CACERES","GUARUMO","CENTRO POBLADO","-75.2096642098","7.85276184828","","MUNICIPIO","",
"05","05120","05120004","ANTIOQUIA","CACERES","MANIZALES","CENTRO POBLADO","-75.4143614377","7.8368375609","","MUNICIPIO","",
"05","05120","05120006","ANTIOQUIA","CACERES","PUERTO BELGICA","CENTRO POBLADO","-75.2846702792","7.66508238984","","MUNICIPIO","",
"05","05120","05120010","ANTIOQUIA","CACERES","PIAMONTE","CENTRO POBLADO","-75.2055840622","7.78287704474","","MUNICIPIO","",
"05","05120","05120012","ANTIOQUIA","CACERES","RIO MAN","CENTRO POBLADO","-75.2081025614","7.94445003134","","MUNICIPIO","",
"05","05120","05120013","ANTIOQUIA","CACERES","LAS PAMPAS","CENTRO POBLADO","-75.2725297859","7.71556361877","","MUNICIPIO","",
"05","05120","05120014","ANTIOQUIA","CACERES","NICARAGUA","CENTRO POBLADO","-75.3838515785","7.73458165582","","MUNICIPIO","",
"05","05120","05120015","ANTIOQUIA","CACERES","PUERTO SANTO","CENTRO POBLADO","-75.2045765724","7.80128802053","","MUNICIPIO","",
"05","05125","05125000","ANTIOQUIA","CAICEDO","CAICEDO","CABECERA MUNICIPAL","-75.9828188939","6.40556700301","","MUNICIPIO","",
"05","05129","05129000","ANTIOQUIA","CALDAS","CALDAS","CABECERA MUNICIPAL","-75.6336187219","6.09129696608","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05129","05129001","ANTIOQUIA","CALDAS","EL CANO","CENTRO POBLADO","-75.640528948","6.10770619309","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
"05","05129","05129002","ANTIOQUIA","CALDAS","LA RAYA","CENTRO POBLADO","-75.6399134358","6.11043606447","","MUNICIPIO","AREA METROPOLITANA DEL VALLE DE ABURRA",
